variant,seed,family,n,NMSE,PSNR,SSIM
G00_generic_film_sincos_Pcyc,0,line,20,1.0241484747695544,30.567114206043936,0.5066779894157444
G00_generic_film_sincos_Pcyc,0,point_cluster,20,1.0820689541850592,33.65447578776874,0.6792408110873648
G00_generic_film_sincos_Pcyc,0,small_rect_edge,10,1.017019820552626,29.516023116545643,0.44935268961746716
G00_generic_film_sincos_Pcyc,1,L-shape,20,0.9907978372071968,28.333420166798145,0.3782495219471458
G00_generic_film_sincos_Pcyc,1,cross,15,0.9904266769131103,30.015162130443294,0.47296676099445084
G00_generic_film_sincos_Pcyc,1,double-line,15,0.9926386374186867,27.43057834280929,0.32910759983672194
G00_generic_film_sincos_Pcyc,1,line,20,0.9931658564495274,30.699184680927743,0.510244763104546
G00_generic_film_sincos_Pcyc,1,point_cluster,20,0.9978156605227744,34.002889203622225,0.700653058378168
G00_generic_film_sincos_Pcyc,1,small_rect_edge,10,0.9924962550221904,29.621875884760186,0.4515952894023056
G00_generic_film_sincos_Pcyc,2,L-shape,20,0.9835676410370405,28.365238016454974,0.3841027446787729
G00_generic_film_sincos_Pcyc,2,cross,15,0.9828979451826896,30.048311224932196,0.47763011061448585
G00_generic_film_sincos_Pcyc,2,double-line,15,0.98461866397387,27.465885702234893,0.335906245175604
G00_generic_film_sincos_Pcyc,2,line,20,0.984294622112228,30.73806589537885,0.5148130079202702
G00_generic_film_sincos_Pcyc,2,point_cluster,20,0.99241347945476,34.02650319748373,0.7026614162591611
G00_generic_film_sincos_Pcyc,2,small_rect_edge,10,0.9878021653873705,29.642510176951596,0.4552987846748332
G01_generic_film_scalar_Pcyc,0,L-shape,20,0.9924917093719078,28.325997626843616,0.3797908027653054
G01_generic_film_scalar_Pcyc,0,cross,15,0.9925112613759065,30.00603753760543,0.47337989480007114
G01_generic_film_scalar_Pcyc,0,double-line,15,0.9937466805978722,27.42572472037784,0.33078267494612545
G01_generic_film_scalar_Pcyc,0,line,20,0.9959662311717281,30.686847645522136,0.5103849511789025
G01_generic_film_scalar_Pcyc,0,point_cluster,20,1.0006578520041731,33.99054874476533,0.7005211941125673
G01_generic_film_scalar_Pcyc,0,small_rect_edge,10,0.9934261291651227,29.61776825527456,0.45291706487885186
G01_generic_film_scalar_Pcyc,1,L-shape,20,0.995560051630034,28.312591574925356,0.3785239645601083
G01_generic_film_scalar_Pcyc,1,cross,15,0.9968496622682402,29.987129848570063,0.472026792822107
G01_generic_film_scalar_Pcyc,1,double-line,15,0.997244740821839,27.410461743679857,0.32877958128724205
G01_generic_film_scalar_Pcyc,1,line,20,0.9986284762605482,30.67526359719873,0.5092786320107043
G01_generic_film_scalar_Pcyc,1,point_cluster,20,1.0074143803150122,33.961386949065584,0.6991090395953427
G01_generic_film_scalar_Pcyc,1,small_rect_edge,10,0.9994362924418307,29.59157832295555,0.45035040255828623
G01_generic_film_scalar_Pcyc,2,L-shape,20,1.0114934354913427,28.24390541804844,0.3779117955839544
G01_generic_film_scalar_Pcyc,2,cross,15,1.0191506367285605,29.891358243458974,0.4688113265461366
G01_generic_film_scalar_Pcyc,2,double-line,15,1.008821627211895,27.360482871150545,0.3305191933307261
G01_generic_film_scalar_Pcyc,2,line,20,1.0276130236312402,30.552256844734064,0.5045607869565631
G01_generic_film_scalar_Pcyc,2,point_cluster,20,1.0662655292502925,33.71696250070091,0.6875020964061057
