dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,double_line_test_0004,double-line,Ours-PC-P1,0.7826769160950435,26.959297963345037,0.4346762440500625,0.4888839558698237,4.037810651908326
Main Test,double_line_test_0004,double-line,Ours-PC-P2A,0.788457554249357,26.92733982663556,0.4269354807907617,0.4882045828271657,4.043429566201137
Main Test,double_line_test_0005,double-line,Baseline-Ours,0.8716793177988216,26.59073071630623,0.35997907428140874,0.325692318235524,6.0609990903461926
Main Test,double_line_test_0005,double-line,Ours-PC-P1,0.8756207945138227,26.571137175135817,0.3566152207291156,0.3295286048669368,5.990438509444
Main Test,double_line_test_0005,double-line,Ours-PC-P2A,0.8726512060531211,26.58589118327621,0.3608143285457221,0.3286877467762679,6.005763415032128
Main Test,double_line_test_0006,double-line,Baseline-Ours,0.5987175841925283,27.53055597243035,0.582175568900028,0.47903462647926065,4.120831220629345
Main Test,double_line_test_0006,double-line,Ours-PC-P1,0.6176526976822546,27.395332649691113,0.5733357202834293,0.48286733706481755,4.0881225401528285
Main Test,double_line_test_0006,double-line,Ours-PC-P2A,0.6728756344879373,27.02342812517891,0.5152694739275075,0.48193138814531267,4.096061997860667
Main Test,double_line_test_0007,double-line,Baseline-Ours,1.0025117207881173,31.931512046867887,0.669828330998225,0.3061391423409805,6.448116465811392
Main Test,double_line_test_0007,double-line,Ours-PC-P1,0.9920668077375285,31.976997498925492,0.6643383203355107,0.309082442894578,6.386712962636814
Main Test,double_line_test_0007,double-line,Ours-PC-P2A,0.9178258698500539,32.314803963390155,0.6768413710510552,0.30906707514077425,6.387030529405711
Main Test,double_line_test_0008,double-line,Baseline-Ours,0.9243278692375966,28.70923350097838,0.4747163620470082,2.5175786582706494,0.7840950025824532
Main Test,double_line_test_0008,double-line,Ours-PC-P1,0.8890128123393967,28.87841369029086,0.48572609648447446,2.520656161941588,0.7831376902424182
Main Test,double_line_test_0008,double-line,Ours-PC-P2A,0.8935453030690602,28.856328228641996,0.4750743859338124,2.521360390819609,0.7829189558722965
Main Test,double_line_test_0009,double-line,Baseline-Ours,0.5680057833003357,30.42652449344239,0.6728161169475528,0.5689480291632936,3.4695978250619635
Main Test,double_line_test_0009,double-line,Ours-PC-P1,0.5771610040318227,30.35708216603309,0.6681624316094893,0.5718260449357331,3.4521352464456423
Main Test,double_line_test_0009,double-line,Ours-PC-P2A,0.6035459069999518,30.162948903050342,0.6434125315315274,0.5724062127992511,3.4486363013159047
