dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Unseen-Parameter OOD,unseen_param_ood_0090,line,Baseline-Ours,0.7337575297748993,29.41191029781919,0.5515311217935609,0.7821146070491523,4.169845897752755
Unseen-Parameter OOD,unseen_param_ood_0090,line,Ours-PC-P1,0.7076443777341236,29.569285296969593,0.5673930027185472,0.7794070129748434,4.1843315898950975
Unseen-Parameter OOD,unseen_param_ood_0090,line,Ours-PC-P2A,0.7265236230842057,29.454938639200353,0.5517395454639065,0.7791812259238213,4.185544103568102
Unseen-Parameter OOD,unseen_param_ood_0091,line,Baseline-Ours,0.86322141322832,29.04228731714422,0.5419012872188975,0.35301788081415,9.238334835207286
Unseen-Parameter OOD,unseen_param_ood_0091,line,Ours-PC-P1,0.8396809816067717,29.162366033811992,0.5480476657764568,0.35140782268717885,9.28066245320783
Unseen-Parameter OOD,unseen_param_ood_0091,line,Ours-PC-P2A,0.8428342903215986,29.146087068310184,0.5338910983646126,0.3506563217379153,9.300552089330214
Unseen-Parameter OOD,unseen_param_ood_0092,line,Baseline-Ours,0.7752099440888998,27.609239251439107,0.4509778898961231,0.25427760113961995,12.825736011193872
Unseen-Parameter OOD,unseen_param_ood_0092,line,Ours-PC-P1,0.7512355602530287,27.74567111665359,0.46837339118595955,0.256505856057629,12.714319415162601
Unseen-Parameter OOD,unseen_param_ood_0092,line,Ours-PC-P2A,0.7499166095515868,27.753302763274785,0.47045952240577765,0.2528662751428783,12.89732046685019
Unseen-Parameter OOD,unseen_param_ood_0093,line,Baseline-Ours,0.6881314869036051,28.973653124991866,0.5924475005822664,0.6768271140754223,4.81850877122661
Unseen-Parameter OOD,unseen_param_ood_0093,line,Ours-PC-P1,0.7142792462560644,28.811687226436852,0.5651673602937302,0.6754802132491022,4.828116829787464
Unseen-Parameter OOD,unseen_param_ood_0093,line,Ours-PC-P2A,0.7249851203192438,28.747076666211242,0.5495889300790037,0.6742885271087289,4.836649675414887
Unseen-Parameter OOD,unseen_param_ood_0094,line,Baseline-Ours,0.6895455242668818,28.737810430159318,0.5389598273721393,0.5086072231642902,6.41221209067051
Unseen-Parameter OOD,unseen_param_ood_0094,line,Ours-PC-P1,0.6840721056419199,28.772421038228412,0.5423630150883948,0.5082089931238443,6.417236668186384
Unseen-Parameter OOD,unseen_param_ood_0094,line,Ours-PC-P2A,0.7034167495972257,28.651312857525788,0.5264674490043824,0.5054053121712059,6.452835590045504
Unseen-Parameter OOD,unseen_param_ood_0095,line,Baseline-Ours,0.7917350473483313,24.63832665521921,0.375360100187796,0.41107894689776003,7.933506228883906
Unseen-Parameter OOD,unseen_param_ood_0095,line,Ours-PC-P1,0.7972839660462567,24.607995054121048,0.3698268677543929,0.4098865028936416,7.956586427591311
Unseen-Parameter OOD,unseen_param_ood_0095,line,Ours-PC-P2A,0.8156416562197737,24.509131452831888,0.34081991831096736,0.4097868639510125,7.958521057342345
Unseen-Parameter OOD,unseen_param_ood_0096,line,Baseline-Ours,0.6957980529504498,29.550461823413443,0.6205784037551985,0.37993814097717404,8.583758865031527
Unseen-Parameter OOD,unseen_param_ood_0096,line,Ours-PC-P1,0.716761823937981,29.42154512514541,0.6002739859196767,0.3765425500459969,8.661165611636795
Unseen-Parameter OOD,unseen_param_ood_0096,line,Ours-PC-P2A,0.7270873357296743,29.35942833985264,0.5827399928744399,0.37658395804464817,8.660213256852945
Unseen-Parameter OOD,unseen_param_ood_0097,line,Baseline-Ours,0.667341473235327,29.050241366081153,0.5730716873581116,0.3829642708878964,8.51593120740781
Unseen-Parameter OOD,unseen_param_ood_0097,line,Ours-PC-P1,0.6537689602986781,29.139479478387074,0.5901653249441738,0.3814355470240116,8.55006150114036
Unseen-Parameter OOD,unseen_param_ood_0097,line,Ours-PC-P2A,0.7002376090582688,28.841268045390077,0.548255599449955,0.3812506820540875,8.554207347788402
Unseen-Parameter OOD,unseen_param_ood_0098,line,Baseline-Ours,0.5976580780691084,28.570165210812526,0.5792748354738826,0.3155110399238765,10.336555534041757
Unseen-Parameter OOD,unseen_param_ood_0098,line,Ours-PC-P1,0.6230087469659049,28.389751697584998,0.5604085158141435,0.3133813689928502,10.406800494418743
Unseen-Parameter OOD,unseen_param_ood_0098,line,Ours-PC-P2A,0.6547869810745621,28.173692967766087,0.5318884275844895,0.3132520008366555,10.411098339566589
Unseen-Parameter OOD,unseen_param_ood_0099,line,Baseline-Ours,0.7046751714853865,29.52124471634423,0.6290252807937597,0.4172456299420446,7.816252949681965
Unseen-Parameter OOD,unseen_param_ood_0099,line,Ours-PC-P1,0.7130503161768204,29.469932879483324,0.6127701413378596,0.41640867106616497,7.831963194777503
Unseen-Parameter OOD,unseen_param_ood_0099,line,Ours-PC-P2A,0.726303716300349,29.3899517040939,0.5918873067570988,0.41639107395894825,7.832294181450068
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0000,point_cluster,Baseline-Ours,0.9559095687862269,31.47139275083912,0.5856293271741998,0.38184141693636775,4.676049946617017
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0000,point_cluster,Ours-PC-P1,0.9419559659246417,31.535255001264627,0.5849212666529774,0.3723794398829341,4.794866058778068
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0000,point_cluster,Ours-PC-P2A,0.941531491823253,31.537212345767387,0.5844440002694659,0.3724222779273987,4.794314527095884
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0001,point_cluster,Baseline-Ours,0.9749623636394811,31.674131391715758,0.5854088759049287,0.4825542208272964,3.7001221007255327
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0001,point_cluster,Ours-PC-P1,0.973289284888778,31.681590493554577,0.5873586432645872,0.48098444496281445,3.7121980886918466
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0001,point_cluster,Ours-PC-P2A,0.9684530014495781,31.703224683491854,0.5889752380418021,0.4796260560397059,3.7227117142561057
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0002,point_cluster,Baseline-Ours,0.9902768380884489,30.927037658945558,0.541766105607557,0.37687406898476183,4.737682117773038
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0002,point_cluster,Ours-PC-P1,0.9825098272699954,30.961235086459723,0.5437690255052428,0.37858348013833165,4.7162901472326695
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0002,point_cluster,Ours-PC-P2A,0.9749798718563711,30.994647570609647,0.5472137893027148,0.37574777100235224,4.751883244758599
Leave-One-Family-Out Focused OOD,leave_one_family_out_ood_0003,point_cluster,Baseline-Ours,0.9485861409793245,32.168443604149466,0.6227926294316536,0.4155347018968314,4.2968963341231925
