dataset,family,baseline_nmse,p1_nmse,p2a_nmse,baseline_psnr,p1_psnr,p2a_psnr,baseline_ssim,p1_ssim,p2a_ssim
Leave-One-Family-Out Focused OOD,point_cluster,1.0345424966359635,1.0387554264886245,1.0106829047597687,31.3532447056018,31.335595282468883,31.454578986968617,0.569466480749906,0.5615381392500727,0.5677088517204353
Leave-One-Family-Out Focused OOD,point_cluster,1.037096177561507,1.0048809590246326,0.9878689672644321,31.400609669372557,31.53765391442702,31.611806495773784,0.5608371786055892,0.5721371099147852,0.5773499458635832
Leave-One-Family-Out Focused OOD,point_cluster,1.0410242810377641,1.0433984775811924,1.0241320065858954,31.79063522088365,31.780742023316385,31.861684593605112,0.5860620157231394,0.581762017155876,0.5872037709539909
Leave-One-Family-Out Focused OOD,point_cluster,1.0543754657108937,1.0200350888979923,0.9859860319534203,30.44380026731549,30.587602067676784,30.735045446659957,0.5115064747343638,0.5202784982150118,0.5316481704916681
Leave-One-Family-Out Focused OOD,point_cluster,1.0550136003978188,1.073703808001026,1.0522314835884332,31.013241794204554,30.936977522959907,31.024709539007386,0.5576924594374082,0.5500929080155709,0.55274050691966
Leave-One-Family-Out Focused OOD,point_cluster,1.0585944319598835,1.0040312412351338,0.9728868817436747,31.938114658205706,32.16793842622896,32.30478721194853,0.603414301878217,0.6142941128625113,0.6215208160789464
Leave-One-Family-Out Focused OOD,point_cluster,1.0625572620970065,1.0321873763590266,1.0066806574474028,32.1105515802182,32.236489680980085,32.34515755636541,0.6005740423648699,0.6057220924702637,0.6142522129131792
Leave-One-Family-Out Focused OOD,point_cluster,1.0636534998164395,1.0415775759289205,1.0261415611441076,31.046038654415664,31.13712418963552,31.201967429522885,0.5480440066019029,0.5512138474913618,0.5530899174777579
Leave-One-Family-Out Focused OOD,point_cluster,1.0719961109450495,1.0156754078323103,0.9958771721618626,30.61767308304153,30.85205579253103,30.93754717090791,0.5258305928451988,0.5393120965312688,0.5436178527090009
Leave-One-Family-Out Focused OOD,point_cluster,1.1607295588422342,1.1131757669335987,1.0609809772825787,30.586181521122974,30.767854437955002,30.97641584970135,0.536690511834042,0.5442930726526317,0.5588639019106009
