dataset,family,baseline_nmse,pc_nmse,baseline_psnr,pc_psnr,baseline_ssim,pc_ssim
Main Test,L-shape,0.8947562131919773,0.8482853364403932,30.957361260368252,31.18898870776316,0.6030726649298461,0.6155217015220601
Main Test,L-shape,0.9318722780179365,0.9188871851039094,33.636444375084466,33.69738641377343,0.7293203306275825,0.7269724496332861
Main Test,line,0.6139101425899993,0.6279764816642139,31.80087130956953,31.702485730045687,0.6888746210783581,0.6795524566365471
Main Test,line,0.6186597950087473,0.6454084595025764,30.288491491891545,30.104663835285077,0.6636818888852671,0.6461308022144991
Main Test,line,0.6215754954514306,0.6460215677755414,31.36614995787294,31.198618540220483,0.6841122233800107,0.6742758056192063
Main Test,line,0.6396902395041171,0.6565727696812586,32.14712238449137,32.03399100514437,0.7002464560539143,0.6894558984495608
Main Test,line,0.6512914813108331,0.645205593411063,32.064546182375686,32.105318861591215,0.7041407293757469,0.705504659852324
Main Test,line,0.6691216542852075,0.6581119996907216,31.11355259739751,31.185605178897955,0.6483793541610011,0.6532337682906056
Main Test,line,0.707657069938542,0.6702096706557783,33.92144689025528,34.157568516437735,0.7404328381735098,0.7515567809577233
Main Test,line,0.7220197600069965,0.6608907023876304,32.255522992255855,32.63971743349053,0.6668525324220198,0.699350330547586
Main Test,line,0.7369717619253735,0.7202823391765729,28.339226941312926,28.43870781082288,0.5244848824102456,0.5412530334474129
Main Test,line,0.7599256155546403,0.7562441356080285,30.98119149940931,31.00228211525231,0.643864861821445,0.6460682843816941
Main Test,line,0.7694717945951746,0.785238106526664,27.04829721113113,26.96021077070467,0.45864105343662914,0.44241022064364405
Main Test,line,0.7761189335134973,0.7778796516046189,28.847606668123866,28.837765411909125,0.5165361431356196,0.5125960009825495
Main Test,line,0.7855527227126596,0.7848071776409419,26.868992765070537,26.873116374720006,0.43047157628238164,0.43399015914044103
Main Test,line,0.8099779077348002,0.8133524115062366,32.51430953365988,32.496253566780354,0.6547031974697263,0.6513719007309936
Main Test,line,0.8456207296215303,0.8392823658120738,33.145254726762154,33.177929952856616,0.6868892769754088,0.6892765435679836
Main Test,line,0.9033293293755581,0.8923497727035552,35.83063444279172,35.88374439620853,0.798845219280671,0.7977417558647147
Main Test,line,0.9297164375391729,0.9169113354354104,32.41149764832304,32.471729372751064,0.6375871431409184,0.6413476896909522
Main Test,line,0.9897439095064566,0.9805611955451603,36.68317827749436,36.72365959892819,0.8139688278545434,0.8162933934879518
Main Test,line,0.9913506980873192,0.9384111301297213,34.86768779893028,35.10602942114902,0.7521035361488173,0.764037208489351
Main Test,line,1.0823283335531428,1.0904267632467328,33.56752504080311,33.53515025286369,0.7162952786740371,0.7075298701048524
Main Test,point_cluster,0.88560473765874,0.8843427816075353,34.78935443235882,34.79554760324325,0.7442931115099068,0.7430501553732666
Main Test,point_cluster,0.9159821385801427,0.8921667349684794,35.27500645202936,35.38941606218925,0.7637261190959398,0.7675405469862429
Main Test,point_cluster,0.927098166632995,0.9188245812811741,33.983489146157105,34.022420479500354,0.7039821492990495,0.7067533376297689
Main Test,point_cluster,0.9303477679500168,0.9302835183531831,31.679498152521504,31.679798113190643,0.5947786081840788,0.5913779180947139
Main Test,point_cluster,0.9350038489397938,0.9144669623776245,31.57451709201153,31.670970970666595,0.6056836929349099,0.609106237114152
Main Test,point_cluster,0.9387646871039792,0.9344110226650506,35.02447425372218,35.044662067484886,0.7523479724773405,0.7525284354102836
Main Test,point_cluster,0.9400144030005446,0.9409634013118984,36.1327458154896,36.12836355675876,0.7943698675969972,0.7925806239583723
Main Test,point_cluster,0.9459732610235805,0.9496872658136707,35.30919224410538,35.29217472373737,0.7903810892782052,0.7854996125394358
Main Test,point_cluster,0.9667666384738925,0.9634483907876246,31.817951571896067,31.83288386647741,0.5958084589164271,0.5931869211784752
Main Test,point_cluster,0.9692971398254432,0.9503936814053849,36.21484622089866,36.30038007921954,0.8331336777087998,0.8343149374455189
Main Test,point_cluster,0.9790831829681453,0.9557964360831077,34.99885233434505,35.10339417206235,0.7500868388629357,0.7523859034825852
Main Test,point_cluster,0.9796828341038826,0.9726320887495425,33.007469494435895,33.03883837992528,0.7028186481017993,0.7042081850811078
Main Test,point_cluster,0.9875220572816817,0.9671770148716671,31.93322885990574,32.02363708557048,0.6328347941305004,0.6367569803102684
Main Test,point_cluster,0.9920419698324258,0.9859063802526998,32.395315971983656,32.4222597089777,0.6261875868119475,0.6250524413412255
Main Test,point_cluster,0.9935312634176222,0.9762391854363988,35.63382359696885,35.71007637383723,0.7721545957154197,0.7741562960471696
Main Test,point_cluster,0.9968757832894863,0.9826746504465385,31.431979129135975,31.494291902718764,0.570663290220387,0.5741154711941362
Main Test,point_cluster,1.009892688886475,1.010941242439249,35.69289182319153,35.688384931074445,0.7923221321720064,0.7899998023575365
Main Test,point_cluster,1.010955725360241,1.0426368423532082,35.56079167430478,35.42678204857594,0.7988916881652962,0.7914041306873947
Main Test,point_cluster,1.0206425867016031,1.0099421728533098,34.307047948870256,34.35281967615908,0.7183514931393047,0.7179023907744937
Main Test,point_cluster,1.0892563788019827,1.0895584857490133,35.77540741335538,35.77420329138632,0.8500752267480781,0.8484152444155187
