variant,sample_id,bin,nmse,ssim,mae,boundary_band_m
S04_concat_Mshell_delta,cross_test_0000,small,0.1575975040930362,0.9768741942086391,0.2637604773044586,
S04_concat_Mshell_delta,cross_test_0000,medium,0.10316850822916981,0.9787645248986552,0.22009946405887604,
S04_concat_Mshell_delta,cross_test_0000,large,0.1781380718366224,0.9727339218464722,0.37446948885917664,
S05_concat_Mshell_delta_Pcyc,cross_test_0000,small,1.0,0.8443731645547369,0.6701280474662781,
S05_concat_Mshell_delta_Pcyc,cross_test_0000,medium,1.0,0.7702645516190274,0.7728592753410339,
S05_concat_Mshell_delta_Pcyc,cross_test_0000,large,1.0,0.8386580771758199,0.891772985458374,
S06_geometry_branch_bottleneck_concat,cross_test_0000,small,0.24057412266296294,0.9640932383806071,0.3296129107475281,
S06_geometry_branch_bottleneck_concat,cross_test_0000,medium,0.16380651027487705,0.9654162089633983,0.29084476828575134,
S06_geometry_branch_bottleneck_concat,cross_test_0000,large,0.27499942350776607,0.9572036897198783,0.4661799371242523,
S07_generic_film_middeep,cross_test_0000,small,0.3141200514743903,0.9527654029530284,0.37473219633102417,
S07_generic_film_middeep,cross_test_0000,medium,0.2583291929963699,0.9439754631837475,0.3779354393482208,
S07_generic_film_middeep,cross_test_0000,large,0.35662201405722654,0.9439395030234127,0.5312463641166687,
S08_rsbfilm_middeep_default,cross_test_0000,small,0.32110922636921085,0.9516756988158348,0.37896549701690674,
S08_rsbfilm_middeep_default,cross_test_0000,medium,0.26443973979966834,0.9425718349334294,0.38286852836608887,
S08_rsbfilm_middeep_default,cross_test_0000,large,0.3629763809883942,0.9429027769900489,0.5359832048416138,
S01_ref3,double_line_test_0000,small,0.6263890622684897,0.6756797797413664,0.707865834236145,
S01_ref3,double_line_test_0000,medium,0.5523887372691779,0.7387153581772256,0.6477530598640442,
S01_ref3,double_line_test_0000,large,0.5496861364288629,0.8047614528870327,0.6134843230247498,
S02_plain_residual_unet,double_line_test_0000,small,0.5954733615387535,0.6929039155192074,0.6898799538612366,
S02_plain_residual_unet,double_line_test_0000,medium,0.5243651876075074,0.7532021317824102,0.6301241517066956,
S02_plain_residual_unet,double_line_test_0000,large,0.5181533770750916,0.816728626217378,0.5949309468269348,
S03_concat_Mshell,double_line_test_0000,small,0.9858285709893558,0.47461454017550586,0.8956151604652405,
S03_concat_Mshell,double_line_test_0000,medium,1.0,0.5072122613744171,0.8883848786354065,
S03_concat_Mshell,double_line_test_0000,large,1.0,0.6330860986273177,0.8443708419799805,
S04_concat_Mshell_delta,double_line_test_0000,small,0.6489598722321781,0.6631531874867492,0.7207642197608948,
S04_concat_Mshell_delta,double_line_test_0000,medium,0.5674547447153646,0.7310425794177347,0.6566216349601746,
S04_concat_Mshell_delta,double_line_test_0000,large,0.5568958959907215,0.8019644088087982,0.6179999113082886,
S05_concat_Mshell_delta_Pcyc,double_line_test_0000,small,1.0,0.4669430155707812,0.9017245173454285,
S05_concat_Mshell_delta_Pcyc,double_line_test_0000,medium,1.0,0.5072122613744171,0.8883848786354065,
S05_concat_Mshell_delta_Pcyc,double_line_test_0000,large,1.0,0.6330860986273177,0.8443708419799805,
S06_geometry_branch_bottleneck_concat,double_line_test_0000,small,0.6800831023390908,0.6452292051574454,0.7390624284744263,
S06_geometry_branch_bottleneck_concat,double_line_test_0000,medium,0.6212392605084346,0.7029219389652502,0.6893635392189026,
S06_geometry_branch_bottleneck_concat,double_line_test_0000,large,0.6118994111799373,0.7809450341685844,0.6495726108551025,
S07_generic_film_middeep,double_line_test_0000,small,0.8300305577400051,0.5616950808821475,0.8193721175193787,
S07_generic_film_middeep,double_line_test_0000,medium,0.7559252021086018,0.633405302317846,0.7636045217514038,
S07_generic_film_middeep,double_line_test_0000,large,0.7561483433214643,0.7258267566707565,0.7261303663253784,
S08_rsbfilm_middeep_default,double_line_test_0000,small,0.8345099393463826,0.5591831679503818,0.8217049241065979,
S08_rsbfilm_middeep_default,double_line_test_0000,medium,0.7622770605311467,0.6301241579035279,0.7669992446899414,
S08_rsbfilm_middeep_default,double_line_test_0000,large,0.7614107461380485,0.7237921928079798,0.7289382815361023,
S01_ref3,line_test_0000,small,0.46635338733536585,0.8314326108689133,0.5358279347419739,
S01_ref3,line_test_0000,medium,nan,nan,nan,
S01_ref3,line_test_0000,large,0.5352351045144632,0.8787017891794078,0.5652140974998474,
S02_plain_residual_unet,line_test_0000,small,0.43389493735773776,0.8438096231603255,0.516808271408081,
S02_plain_residual_unet,line_test_0000,medium,nan,nan,nan,
S02_plain_residual_unet,line_test_0000,large,0.5021890786502203,0.8865316386413837,0.5468339920043945,
S03_concat_Mshell,line_test_0000,small,0.8778474796389516,0.6655153390347095,0.7350210547447205,
S03_concat_Mshell,line_test_0000,medium,nan,nan,nan,
S03_concat_Mshell,line_test_0000,large,1.0,0.7681662613578296,0.7892246246337891,
S04_concat_Mshell_delta,line_test_0000,small,0.48518441694322856,0.8241778542245639,0.5468697547912598,
S04_concat_Mshell_delta,line_test_0000,medium,nan,nan,nan,
S04_concat_Mshell_delta,line_test_0000,large,0.541063270053732,0.8772902513515847,0.5688060522079468,
S05_concat_Mshell_delta_Pcyc,line_test_0000,small,0.902722879574487,0.6547173097753137,0.74867182970047,
S05_concat_Mshell_delta_Pcyc,line_test_0000,medium,nan,nan,nan,
S05_concat_Mshell_delta_Pcyc,line_test_0000,large,1.0,0.7681662613578296,0.7892246246337891,
S06_geometry_branch_bottleneck_concat,line_test_0000,small,0.5178164586795225,0.8103461937329175,0.5672940611839294,
S06_geometry_branch_bottleneck_concat,line_test_0000,medium,nan,nan,nan,
S06_geometry_branch_bottleneck_concat,line_test_0000,large,0.6243064377112376,0.8574780780231931,0.613319456577301,
S07_generic_film_middeep,line_test_0000,small,0.6318228461833085,0.7648676127152665,0.628838837146759,
