variant,sample_id,family,nmse,psnr,ssim,runtime_per_sample
S04_concat_Mshell_delta,L_shape_test_0002,L-shape,4.935233076529741,20.347844094811215,0.06972360592060241,0.0009415600034117233
S05_concat_Mshell_delta_Pcyc,L_shape_test_0002,L-shape,12.547792698630671,16.29524732661261,0.0017667737259867864,0.0009442039990972262
S06_geometry_branch_bottleneck_concat,L_shape_test_0002,L-shape,4.209641104754143,21.0384702750881,0.07867568417776463,0.0013849770002707373
S07_generic_film_middeep,L_shape_test_0002,L-shape,3.7190581803114906,21.576590995805617,0.049720164198595755,0.0018623229989316314
S08_rsbfilm_middeep_default,L_shape_test_0002,L-shape,3.6491650250054364,21.65898556140978,0.05111643103346798,0.001868856001237873
S01_ref3,cross_test_0002,cross,2.701914913956144,26.048271501408237,0.26968484183952673,0.0
S02_plain_residual_unet,cross_test_0002,cross,3.197568798672285,25.31678941910863,0.10853185563791366,0.0009634999987611081
S03_concat_Mshell,cross_test_0002,cross,31.551306160674645,15.374814997769668,0.0011753102711030122,0.0009406440003658645
S04_concat_Mshell_delta,cross_test_0002,cross,2.595113375974147,26.223424852060994,0.28190523123204736,0.000948524997511413
S05_concat_Mshell_delta_Pcyc,cross_test_0002,cross,27.271926005661214,16.007830324729408,0.0014032247619074458,0.0009457910018682014
S06_geometry_branch_bottleneck_concat,cross_test_0002,cross,2.415016379439138,26.535787266678557,0.27672833766739885,0.0013928389998909552
S07_generic_film_middeep,cross_test_0002,cross,3.0812110745387,25.477773883351627,0.08771282417285327,0.0017673080001259223
S08_rsbfilm_middeep_default,cross_test_0002,cross,3.0330888835761565,25.54613697252873,0.09058850051098778,0.001876635000371607
S01_ref3,double_line_test_0002,double-line,1.347697752556682,29.949906212283317,0.47839494157162543,0.0
S02_plain_residual_unet,double_line_test_0002,double-line,1.6893046320668794,28.968751269439554,0.2159044211311465,0.0010846779987332411
S03_concat_Mshell,double_line_test_0002,double-line,37.511716603819984,15.504161838289585,0.0010710620161427473,0.0009449320023122709
S04_concat_Mshell_delta,double_line_test_0002,double-line,1.317302575551716,30.04897592374792,0.48342754940302035,0.0009353850000479724
S05_concat_Mshell_delta_Pcyc,double_line_test_0002,double-line,31.784169575372868,16.223722458717415,0.0013745378651749992,0.0009394320004503243
S06_geometry_branch_bottleneck_concat,double_line_test_0002,double-line,1.3260134467564768,30.020351711357435,0.469898481899917,0.001383317998261191
S07_generic_film_middeep,double_line_test_0002,double-line,2.648781466952402,27.01536979626303,0.11306685020608634,0.001764616998116253
S08_rsbfilm_middeep_default,double_line_test_0002,double-line,2.6106232575543813,27.07838911692152,0.11672111807813156,0.001967575000890065
S01_ref3,line_test_0002,line,4.807651813460952,23.382970345778627,0.13800560093434078,0.0
S02_plain_residual_unet,line_test_0002,line,5.442021587652874,22.84469751717356,0.0643912213873123,0.000967732001299737
S03_concat_Mshell,line_test_0002,line,26.81158061284239,15.919076068446712,0.0013802527957154753,0.0009430509999219794
S04_concat_Mshell_delta,line_test_0002,line,4.526075185213298,23.645082649805566,0.14931739575468667,0.0009691679988463875
S05_concat_Mshell_delta_Pcyc,line_test_0002,line,24.709716453260356,16.273622487508838,0.0015129345017297635,0.001043798001774121
S06_geometry_branch_bottleneck_concat,line_test_0002,line,3.9658898859251686,24.218893762478174,0.15615552459163887,0.0013905439991503954
S07_generic_film_middeep,line_test_0002,line,3.9352981859565603,24.25252372685648,0.07125085854140163,0.002693073998671025
S08_rsbfilm_middeep_default,line_test_0002,line,3.8546669471950916,24.34243159098036,0.07379577409246844,0.0018837930001609493
S01_ref3,point_cluster_test_0002,point_cluster,12.368916055710809,24.68232246130341,0.13840100875980121,0.0
S02_plain_residual_unet,point_cluster_test_0002,point_cluster,14.409992335500482,24.0190013842976,0.05234147855032079,0.0009725339987198822
S03_concat_Mshell,point_cluster_test_0002,point_cluster,103.43740193656214,15.458862670831754,0.0007983470441274308,0.0009357519993500318
S04_concat_Mshell_delta,point_cluster_test_0002,point_cluster,11.959428332948969,24.828534464101363,0.1444143557263575,0.0009359520008729305
S05_concat_Mshell_delta_Pcyc,point_cluster_test_0002,point_cluster,89.37267506949868,16.093591177506987,0.0009099667686665857,0.0009463049973419402
S06_geometry_branch_bottleneck_concat,point_cluster_test_0002,point_cluster,10.03168927893284,25.591898017844905,0.16065689520308718,0.001392499001667602
S07_generic_film_middeep,point_cluster_test_0002,point_cluster,10.781851798344682,25.278705158067673,0.05779513145610084,0.0017549569965922274
S08_rsbfilm_middeep_default,point_cluster_test_0002,point_cluster,10.531987231188117,25.380535381898277,0.060345878546173765,0.0018682439986150712
S01_ref3,small_rect_edge_test_0002,small_rect_edge,1.6127609362147655,25.646138968452775,0.27356527273553055,0.0
S02_plain_residual_unet,small_rect_edge_test_0002,small_rect_edge,1.8816634888086363,24.97641918608011,0.1240608749528117,0.0009763259986357298
S03_concat_Mshell,small_rect_edge_test_0002,small_rect_edge,16.564141301845115,15.53014957660831,0.001256136225114421,0.0009561279985064175
S04_concat_Mshell_delta,small_rect_edge_test_0002,small_rect_edge,1.5645414906636774,25.777968189588385,0.28655958695873235,0.0009443650014873128
S05_concat_Mshell_delta_Pcyc,small_rect_edge_test_0002,small_rect_edge,14.317477848556214,16.163173623530785,0.0015847904009196002,0.0009475760016357526
S06_geometry_branch_bottleneck_concat,small_rect_edge_test_0002,small_rect_edge,1.5173675496269006,25.910931063903554,0.2715672805597041,0.001388576998579083
S07_generic_film_middeep,small_rect_edge_test_0002,small_rect_edge,2.0031254085277004,24.70475749874817,0.0872050473857747,0.0017593369993846864
S08_rsbfilm_middeep_default,small_rect_edge_test_0002,small_rect_edge,1.9820828746049421,24.75062071504061,0.08940871078900675,0.0018740529994829558
S01_ref3,L_shape_test_0003,L-shape,2.864450051882877,22.91788644436342,0.14939910995875008,0.0
S02_plain_residual_unet,L_shape_test_0003,L-shape,3.202241840519056,22.433757436885973,0.07784464296057135,0.0009698479989310727
S03_concat_Mshell,L_shape_test_0003,L-shape,13.96162066838857,16.03894054790857,0.0015033769093173587,0.0009467379968555178
S04_concat_Mshell_delta,L_shape_test_0003,L-shape,2.7326689524586634,23.12242842684043,0.15956076700605204,0.0009328359992650803
S05_concat_Mshell_delta_Pcyc,L_shape_test_0003,L-shape,13.057775446073272,16.32960695093604,0.0017007741458816195,0.0009447490010643378
S06_geometry_branch_bottleneck_concat,L_shape_test_0003,L-shape,2.4696747195570414,23.56190115913375,0.1611072264001858,0.001392923000821611
S07_generic_film_middeep,L_shape_test_0003,L-shape,2.568358570675675,23.391742247474532,0.07187940989879488,0.0017520129986223765
S08_rsbfilm_middeep_default,L_shape_test_0003,L-shape,2.530592549431893,23.456076571946042,0.07377165840938311,0.0018647150027391035
S01_ref3,cross_test_0003,cross,2.373120475336822,23.879702903179798,0.24715704033249272,0.0
S02_plain_residual_unet,cross_test_0003,cross,2.6897950112725955,23.335709037585374,0.12278843140077562,0.0009082529977604281
S03_concat_Mshell,cross_test_0003,cross,13.667507033142037,16.276007925774444,0.0017451065188001027,0.0009377239985042252
S04_concat_Mshell_delta,cross_test_0003,cross,2.267378778189075,24.077659931037818,0.2625776896648666,0.0009357320013805293
S05_concat_Mshell_delta_Pcyc,cross_test_0003,cross,13.167746631186938,16.437786416462,0.0018199457878498688,0.000975480998022249
S06_geometry_branch_bottleneck_concat,cross_test_0003,cross,2.002009903599103,24.618238643850567,0.2765847974367381,0.0015762410002935212
S07_generic_film_middeep,cross_test_0003,cross,2.2435621725325783,24.123519682042406,0.11741608419015567,0.0017555869999341667
S08_rsbfilm_middeep_default,cross_test_0003,cross,2.2090709339810863,24.190804225165298,0.12051618396201332,0.0018761870014714077
